User_ID,App,Daily_Minutes_Spent,Posts_Per_Day,Likes_Per_Day,Follows_Per_Day
U_217,Snapchat,491,0,124,21
U_218,TikTok,410,5,182,48
U_221,Snapchat,418,12,78,38
U_225,TikTok,143,2,141,14
U_231,Snapchat,201,13,173,50
U_234,TikTok,218,0,107,5
U_235,Snapchat,434,10,87,47
U_237,Snapchat,336,8,167,40
U_244,TikTok,16,9,102,48
U_253,TikTok,423,13,115,45
U_257,TikTok,118,20,193,25
U_261,Snapchat,171,3,100,10
U_262,TikTok,436,0,29,8
U_264,Snapchat,141,0,22,3
U_271,Snapchat,14,12,11,29
U_272,TikTok,195,9,141,47
U_276,Snapchat,219,10,188,15
U_289,Snapchat,100,4,70,37
U_293,Snapchat,264,18,124,28
U_295,TikTok,32,14,152,1
U_296,Snapchat,452,3,70,34
U_297,TikTok,136,11,60,0
U_302,TikTok,67,20,69,4
U_308,Snapchat,492,0,109,8
U_311,TikTok,334,16,180,25
U_315,TikTok,52,10,11,0
U_320,TikTok,443,0,93,37
U_327,Snapchat,69,8,160,45
U_331,Snapchat,240,18,39,20
U_336,Snapchat,169,11,48,19
U_344,Snapchat,415,16,149,45
U_345,Snapchat,404,8,55,1
U_348,TikTok,128,14,79,21
U_349,Snapchat,37,5,91,10
U_352,Snapchat,236,5,177,12
U_354,Snapchat,354,9,35,45
U_356,Snapchat,99,7,102,8
U_357,TikTok,200,6,71,18
U_365,Snapchat,295,1,99,2
U_380,Snapchat,47,2,179,41
U_383,TikTok,30,5,12,17
U_384,TikTok,389,2,3,16
U_387,TikTok,135,18,146,1
U_389,TikTok,84,19,18,43
U_390,TikTok,364,19,121,16
U_396,TikTok,479,20,15,35
U_401,TikTok,189,7,46,40
U_402,TikTok,197,5,59,10
U_403,Snapchat,223,3,70,24
U_411,Snapchat,48,5,55,32
U_412,TikTok,403,2,79,29
U_414,TikTok,177,17,27,40
U_416,Snapchat,176,7,156,22
U_418,Snapchat,401,9,154,12
U_419,TikTok,351,14,22,2
U_420,TikTok,298,0,0,31
U_426,Snapchat,315,2,51,2
U_427,TikTok,17,20,35,24
U_430,Snapchat,184,12,111,2
U_431,TikTok,483,17,146,18
U_432,TikTok,356,5,18,41
U_434,Snapchat,29,20,193,23
U_439,TikTok,85,18,68,45
U_441,Snapchat,77,5,110,38
U_444,Snapchat,426,16,16,38
U_447,Snapchat,88,7,77,34
U_450,TikTok,246,13,151,23
U_452,Snapchat,16,6,135,1
U_453,Snapchat,456,11,61,12
U_458,TikTok,284,1,37,4
U_461,TikTok,270,10,40,23
U_462,Snapchat,476,14,77,27
U_463,TikTok,333,1,198,3
U_466,TikTok,81,18,2,49
U_468,Snapchat,275,1,62,38
U_469,Snapchat,435,8,161,14
U_471,Snapchat,22,9,82,14
U_476,Snapchat,437,14,196,20
U_481,Snapchat,124,11,164,7
U_485,TikTok,149,18,90,28
U_487,Snapchat,274,18,48,45
U_489,Snapchat,284,16,4,22
U_490,Snapchat,337,9,8,37
U_491,TikTok,366,13,2,39
U_494,TikTok,388,6,125,14
U_495,Snapchat,468,8,193,33
U_497,TikTok,84,1,178,26
U_498,Snapchat,322,12,53,45
U_499,TikTok,194,15,42,43
U_502,TikTok,243,1,55,29
U_503,TikTok,130,10,11,36
U_505,Snapchat,309,6,108,5
U_507,TikTok,206,6,163,23
U_508,Snapchat,113,6,95,31
U_512,Snapchat,283,1,177,21
U_514,Snapchat,156,16,122,34
U_523,Snapchat,20,19,126,3
U_527,Snapchat,365,9,1,3
U_528,TikTok,242,7,35,22
U_530,Snapchat,454,2,50,34
U_531,Snapchat,47,11,18,10
U_533,TikTok,350,0,92,26
U_539,Snapchat,423,18,3,43
U_543,Snapchat,328,7,16,30
U_548,TikTok,129,0,113,2
U_549,Snapchat,201,11,100,34
U_551,TikTok,115,14,15,14
U_555,TikTok,378,7,53,12
U_557,TikTok,194,16,91,38
U_563,Snapchat,310,1,47,41
U_572,Snapchat,21,5,54,4
U_575,Snapchat,36,15,166,39
U_579,TikTok,236,3,78,12
U_580,Snapchat,297,3,79,39
U_583,TikTok,455,5,146,19
U_585,Snapchat,377,7,188,4
U_588,Snapchat,239,13,92,35
U_592,TikTok,224,8,90,43
U_595,TikTok,477,5,58,47
U_601,TikTok,264,3,77,23
U_603,Snapchat,24,0,193,38
U_607,Snapchat,399,18,48,24
U_609,TikTok,449,13,170,36
U_616,Snapchat,317,11,83,26
U_617,Snapchat,264,18,23,27
U_620,Snapchat,155,2,173,12
U_621,Snapchat,464,5,73,35
U_625,TikTok,295,9,56,15
U_631,Snapchat,17,10,89,31
U_633,Snapchat,301,16,162,23
U_634,TikTok,383,18,46,19
U_638,Snapchat,194,12,63,19
U_643,Snapchat,262,14,51,48
U_647,TikTok,23,8,52,2
U_648,Snapchat,204,5,79,23
U_654,TikTok,161,14,85,20
U_660,TikTok,159,15,58,30
U_666,TikTok,435,20,37,34
U_672,TikTok,299,1,120,17
U_674,Snapchat,383,16,101,1
U_678,Snapchat,395,6,87,33
U_683,TikTok,383,16,160,50
U_686,Snapchat,160,20,182,17
U_687,TikTok,8,15,139,0
U_700,TikTok,281,8,43,17
U_701,Snapchat,251,2,104,17
U_712,TikTok,126,0,26,36
U_719,TikTok,39,5,184,2
U_720,Snapchat,14,20,98,33
U_721,Snapchat,317,4,37,29
U_725,Snapchat,186,8,96,1
U_727,Snapchat,447,9,48,46
U_728,TikTok,5,4,70,45
U_734,TikTok,391,15,67,36
U_737,Snapchat,359,17,168,10
U_741,Snapchat,87,3,23,41
U_743,TikTok,353,19,120,5
U_744,Snapchat,369,7,121,7
U_746,TikTok,40,14,63,4
U_749,Snapchat,12,7,124,9
U_754,Snapchat,388,20,121,50
U_764,Snapchat,117,0,94,12
U_765,Snapchat,301,3,15,9
U_766,Snapchat,246,13,182,28
U_768,Snapchat,393,16,1,35
U_775,TikTok,337,16,48,42
U_786,TikTok,192,4,160,44
U_795,Snapchat,442,7,118,32
U_801,TikTok,193,14,168,19
U_802,TikTok,354,16,11,0
U_803,Snapchat,449,20,51,45
U_807,TikTok,435,3,15,5
U_812,TikTok,101,12,163,10
U_813,TikTok,292,1,17,26
U_814,TikTok,317,14,102,2
U_819,TikTok,56,7,61,24
U_824,TikTok,238,11,158,6
U_826,Snapchat,169,20,17,50
U_830,Snapchat,304,20,1,4
U_838,Snapchat,363,11,3,50
U_842,TikTok,405,14,151,20
U_845,TikTok,498,12,6,11
U_846,TikTok,201,0,123,19
U_848,Snapchat,125,7,128,20
U_860,Snapchat,423,14,116,44
U_862,TikTok,483,3,159,26
U_865,TikTok,325,3,84,22
U_874,Snapchat,97,4,14,28
U_875,TikTok,263,11,193,20
U_876,Snapchat,285,9,195,13
U_877,Snapchat,148,17,169,49
U_878,TikTok,445,7,150,37
U_880,TikTok,123,18,75,45
U_881,Snapchat,261,4,15,16
U_883,TikTok,232,10,199,23
U_884,TikTok,167,2,27,41
U_885,TikTok,11,9,44,39
U_886,Snapchat,315,13,128,9
U_887,Snapchat,447,14,172,21
U_889,Snapchat,399,11,50,35
U_893,TikTok,39,15,173,37
U_896,TikTok,76,10,10,4
U_899,Snapchat,305,16,19,13
U_900,Snapchat,357,10,195,3
U_902,TikTok,51,3,102,5
U_903,TikTok,157,4,8,22
U_905,TikTok,61,14,52,23
U_906,Snapchat,433,3,88,49
U_907,Snapchat,101,2,157,19
U_908,TikTok,26,7,50,23
U_909,Snapchat,447,7,57,33
U_914,Snapchat,448,9,41,27
U_915,Snapchat,465,14,123,1
U_916,TikTok,61,1,163,39
U_919,Snapchat,408,16,150,30
U_922,TikTok,61,19,130,45
U_923,TikTok,311,5,184,15
U_929,Snapchat,312,1,57,22
U_934,TikTok,481,5,181,41
U_935,TikTok,357,11,157,46
U_937,Snapchat,141,5,94,42
U_939,Snapchat,376,18,8,46
U_941,Snapchat,231,20,196,29
U_943,Snapchat,242,19,9,46
U_951,Snapchat,408,3,16,32
U_953,Snapchat,303,19,113,34
U_955,Snapchat,105,14,6,5
U_960,TikTok,493,2,174,24
U_961,TikTok,89,19,105,48
U_963,TikTok,186,20,66,15
U_968,TikTok,28,8,130,8
U_969,Snapchat,451,3,39,34
U_971,Snapchat,376,12,93,50
U_974,TikTok,320,2,39,17
U_982,Snapchat,135,15,28,42
U_990,TikTok,395,9,1,17
U_991,Snapchat,93,5,107,1
U_999,TikTok,305,15,151,6
